city,lat,lng
george hill,18.19939,-63.0665
east end village,18.23333,-63
blowing point village,18.17648,-63.09375
sandy hill,18.22104,-63.01329
xarrë,39.72833,20.05444
sarandë,39.87534,20.00477
mesopotam,39.91028,20.09222
markat,39.73278,20.19528
livadhja,39.78917,20.12194
konispol,39.65889,20.18139
kakavijë,39.90778,20.35833
finiq,39.90639,20.05833
dhivër,39.83611,20.16861
delvinë,39.95111,20.09778
aliko,39.85861,20.07917
buçimas,40.89139,20.68139
zerqan,41.50222,20.36056
zavalinë,40.98083,20.28083
zapod,42.05056,20.5525
zall-reç,41.87611,20.32
zall-dardhë,41.80667,20.33611
xibër-murrizë,41.45472,20.02556
vreshtas,40.79694,20.77694
voskopojë,40.63306,20.58889
voskop,40.61194,20.69028
vithkuq,40.525,20.5825
vërtop,40.62889,20.05389
vergo,40.00667,20.00889
vendresha e vogël,40.50722,20.13472
velçan,40.95472,20.46222
ujmisht,41.90833,20.34694
udënisht,40.96333,20.63917
tunjë,40.83417,20.11194
tregan,41.02472,20.07833
trebisht-muçinë,41.41111,20.53556
trebinjë,40.91333,20.55306
topojan,40.37722,20.21333
tomin,41.69083,20.42167
tepelenë,40.29583,20.01917
surroj,41.99222,20.34417
sult,40.88472,20.09944
sukë,40.37528,20.15472
suç,41.57694,20.05139
stravaj,41.00528,20.42306
steblevë,41.33722,20.47
sllovë,41.80111,20.40833
skore,40.10722,20.36639
skënderbegas,40.77611,20.24056
shushicë,41.0975,20.14833
shupenzë,41.53,20.42361
shtiqën,42.04056,20.43417
shishtavec,41.98,20.60583
shirgjan,41.05194,20.05333
shëngjin,41.92611,20.18833
shënmëri,42.10417,20.23833
selishtë,41.6275,20.27917
saraqinishtë,40.10528,20.22944
rukaj,41.68361,20.01917
rajcë,41.09028,20.57639
roshnik qender,40.73278,20.03944
qukës-skënderbe,41.08389,20.43806
qestorat,40.1175,20.19972
qereshnik,40.76333,20.00972
qafëmal,42.09333,20.09056
përrenjas-fshat,41.06667,20.53528
përrenjas,41.07306,20.54889
proptisht,40.98611,20.5025
progër,40.69417,20.94028
potom,40.48833,20.37333
poroçan,40.94194,20.29861
polis-gostimë,41.13333,20.25833
poliçan,40.61222,20.09806
pojan,40.72583,20.8375
pogradec,40.9025,20.6525
pishaj,40.88111,20.18278
pirg,40.785,20.70611
gjinkar,40.19944,20.40611
petran,40.20944,20.41833
peshkopi,41.685,20.42858
përmet,40.23361,20.35167
ostreni i math,41.43083,20.45556
orosh,41.83333,20.08333
orenjë,41.28472,20.21194
odrie,40.13333,20.16667
novoselë,40.76139,20.69833
picar,40.16667,20.04833
mollas,40.92694,20.00361
mollaj,40.56028,20.74028
miras,40.50917,20.92833
melan,41.65417,20.46528
mborje,40.60333,20.80306
martanesh,41.4,20.2
maqellarë,41.58889,20.48306
maliq,40.70583,20.69972
macukull,41.68861,20.11028
lunik,41.28917,20.32361
llugaj,42.34139,20.10861
lis,41.6275,20.08528
liqenas,40.78667,20.90222
librazhd,41.17944,20.315
libonik,40.70444,20.70861
libohovë,40.03111,20.26306
leskovik,40.15139,20.59722
leshnjë,40.53694,20.31333
